iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
73,16,8,8,0,2602,1716,-0.005074,0.101703,0.863025,0.0701,2.04,,
74,16,10,6,0,1907,1458,-0.006707,0.102257,0.807630,0.0382,1.60,,
75,16,8,8,0,2487,1859,0.006910,0.072983,0.807049,0.0568,2.06,,
76,16,9,7,0,2195,1451,-0.005933,0.086173,0.801067,0.0228,1.84,,
77,16,5,11,0,2315,1737,-0.003725,0.123899,0.799131,0.0359,1.72,,
78,16,8,8,0,2591,2001,-0.006412,0.088216,0.805251,0.0385,1.89,,
79,16,6,10,0,2040,1446,-0.008350,0.102975,0.782040,0.0142,1.54,,
80,16,9,7,0,1843,1600,-0.012251,0.099447,0.773566,0.0312,1.51,1.0000,20
81,16,7,9,0,2268,1520,-0.004708,0.090814,0.732993,0.0311,1.83,,
82,16,4,12,0,2252,1547,-0.000367,0.102494,0.775529,0.0473,1.40,,
83,16,9,6,1,5679,3392,-0.005707,0.034145,0.707712,0.0419,2.69,,
84,16,7,9,0,2305,1836,-0.002088,0.090203,0.724738,0.0335,1.49,,
85,16,10,5,1,5534,3905,-0.006014,0.044893,0.554225,0.0402,2.98,,
86,16,8,8,0,2060,1309,-0.002765,0.058526,0.780639,0.0102,1.29,,
87,16,10,6,0,2847,2127,-0.012055,0.060701,0.758656,0.0479,1.68,,
88,16,5,11,0,2271,1665,-0.003382,0.071067,0.786569,0.0368,1.44,,
89,16,10,6,0,1976,1308,0.000456,0.103432,0.753645,0.0501,1.35,,
90,16,9,7,0,1911,1536,-0.005399,0.111323,0.786420,0.0352,1.40,1.0000,20
91,16,6,10,0,2065,1382,-0.012794,0.053830,0.766391,0.0440,1.25,,
92,16,6,10,0,2769,1781,-0.004086,0.088496,0.798825,0.0290,1.62,,
93,16,8,8,0,2497,1753,-0.004305,0.072408,0.765203,0.0332,1.48,,
94,16,6,10,0,2388,1747,-0.005368,0.116277,0.761762,0.0414,1.45,,
95,16,8,8,0,2258,1627,-0.001248,0.083592,0.770416,0.0467,1.42,,
96,16,8,8,0,2428,1813,-0.008540,0.085395,0.774244,0.0346,1.44,,
97,16,9,7,0,2149,1301,-0.006953,0.124073,0.748044,0.0504,1.25,,
98,16,10,6,0,2205,1750,-0.007964,0.101198,0.784243,0.0535,1.35,,
99,16,7,9,0,2564,1996,-0.004681,0.074080,0.776501,0.0529,1.61,,
100,16,6,10,0,2100,1257,-0.006242,0.106331,0.772626,0.0414,1.28,1.0000,20
