iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
73,16,8,8,0,3505,2689,-0.003108,0.041361,0.500961,0.0244,1.82,,
74,16,11,5,0,3328,2375,0.005925,0.039377,0.511656,0.0377,1.63,,
75,16,11,5,0,4158,3403,-0.001707,0.059874,0.501119,0.0307,2.07,,
76,16,14,2,0,3144,2490,-0.003565,0.051890,0.483864,0.0176,1.54,,
77,16,10,6,0,3091,2391,-0.003055,0.055672,0.504992,0.0173,1.56,,
78,16,9,7,0,3560,2339,-0.002192,0.058722,0.530432,0.0384,1.69,,
79,16,12,4,0,3512,2740,-0.002822,0.067664,0.528213,0.0237,1.76,,
80,16,13,3,0,3507,2649,-0.003347,0.052231,0.514664,0.0280,1.78,1.0000,20
81,16,11,5,0,2682,1984,-0.003478,0.096077,0.522313,0.0137,1.34,,
82,16,6,10,0,3860,2751,-0.006488,0.054641,0.515196,0.0186,1.91,,
83,16,10,6,0,3144,2282,-0.003326,0.042524,0.510751,0.0193,1.52,,
84,16,12,4,0,3889,2848,-0.012365,0.045933,0.501008,0.0218,1.95,,
85,16,9,7,0,3254,2377,-0.001698,0.074984,0.489480,0.0150,1.62,,
86,16,7,9,0,3538,2606,-0.008503,0.028189,0.476506,0.0277,1.71,,
87,16,4,12,0,3077,2313,-0.012487,0.064012,0.532134,0.0309,1.60,,
88,16,8,8,0,2806,2178,-0.008423,0.063407,0.553411,0.0273,1.44,,
89,16,8,8,0,3116,2484,-0.007043,0.067814,0.515762,0.0285,1.59,,
90,16,10,6,0,3416,2851,0.000987,0.050970,0.495933,0.0309,1.73,1.0000,20
91,16,5,11,0,3320,2584,-0.014429,0.046226,0.517824,0.0174,1.78,,
92,16,5,11,0,3115,2346,-0.002188,0.078343,0.497100,0.0226,1.56,,
93,16,10,5,1,3346,2250,-0.006450,0.049138,0.561129,0.0256,1.69,,
94,16,5,11,0,3617,2829,0.001859,0.062519,0.505388,0.0238,1.81,,
95,16,9,7,0,3254,2289,-0.004748,0.054583,0.500244,0.0278,1.65,,
96,16,8,7,1,3277,2802,-0.004223,0.073538,0.525606,0.0193,1.72,,
97,16,7,9,0,2704,1871,-0.007983,0.072170,0.496666,0.0178,1.40,,
98,16,9,7,0,3729,3104,-0.005909,0.079565,0.518040,0.0152,1.95,,
99,16,4,12,0,3354,2696,-0.002982,0.050943,0.510549,0.0329,1.70,,
100,16,12,4,0,3010,2311,-0.038872,0.050803,0.527331,0.0232,1.57,1.0000,20
101,16,7,9,0,3510,2646,0.004114,0.060905,0.528664,0.0274,1.77,,
102,16,7,9,0,3171,2578,-0.015681,0.072245,0.545325,0.0377,1.65,,
103,16,8,8,0,3337,2911,0.001222,0.064014,0.496103,0.0213,1.73,,
104,16,13,3,0,3873,3236,-0.005642,0.053814,0.555273,0.0259,2.00,,
105,16,7,9,0,3058,2112,0.002740,0.073041,0.508202,0.0315,1.52,,
106,16,7,9,0,3567,3065,-0.004696,0.048989,0.505129,0.0246,1.87,,
107,16,9,7,0,2872,2042,-0.003731,0.044744,0.514033,0.0190,1.44,,
