iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
123,2,1,1,0,376,-0.004020,0.110680,1.032275,0.0219,0.000001,,
124,2,1,1,0,,,,,,,,
125,2,1,1,0,,,,,,,,
126,2,0,2,0,427,0.004081,0.099959,0.974524,0.0000,0.000000,,
127,2,1,1,0,,,,,,,,
128,2,1,1,0,,,,,,,,
129,2,0,2,0,377,-0.000189,0.066097,0.960510,0.0075,0.000000,,
130,2,0,2,0,,,,,,,0.8750,20
131,2,0,2,0,,,,,,,,
132,2,0,2,0,234,-0.000308,0.074557,0.984368,0.0000,0.000000,,
133,2,1,1,0,,,,,,,,
134,2,1,1,0,,,,,,,,
135,2,0,2,0,473,-0.004080,0.090566,0.867944,0.0000,0.000001,,
136,2,0,2,0,,,,,,,,
137,2,0,2,0,,,,,,,,
138,2,1,1,0,496,-0.003180,0.084560,1.000250,0.0000,0.000001,,
139,2,0,2,0,,,,,,,,
140,2,0,2,0,,,,,,,0.9250,20
141,2,0,2,0,267,0.018893,0.070064,0.977507,0.0000,0.000000,,
142,2,0,2,0,,,,,,,,
143,2,0,2,0,,,,,,,,
144,2,0,2,0,286,-0.005962,0.016832,0.948520,0.0088,0.000000,,
145,2,0,2,0,,,,,,,,
146,2,0,2,0,,,,,,,,
147,2,0,2,0,321,-0.033325,0.025211,1.027132,0.0026,0.000000,,
148,2,0,2,0,,,,,,,,
149,2,0,2,0,,,,,,,,
150,2,0,2,0,375,0.015373,0.017042,0.992017,0.0034,0.000000,0.9250,20
151,2,0,2,0,,,,,,,,
152,2,0,2,0,,,,,,,,
153,2,0,2,0,382,-0.020486,0.008611,0.965802,0.0020,0.000000,,
154,2,1,1,0,,,,,,,,
155,2,0,2,0,,,,,,,,
156,2,1,1,0,460,0.000210,0.090005,0.946366,0.0008,0.000000,,
157,2,0,2,0,,,,,,,,
158,2,1,1,0,,,,,,,,
159,2,0,2,0,361,0.005007,0.069378,0.987797,0.0186,0.000000,,
160,2,0,2,0,,,,,,,0.8750,20
161,2,1,1,0,,,,,,,,
162,2,0,2,0,333,0.007179,0.086447,1.009878,0.0078,0.000000,,
163,2,1,1,0,,,,,,,,
164,2,0,2,0,,,,,,,,
165,2,0,2,0,319,0.028937,0.048180,1.001107,0.0118,0.000000,,
166,2,0,2,0,,,,,,,,
167,2,1,1,0,,,,,,,,
168,2,0,2,0,312,0.009867,0.092820,0.999550,0.0096,0.000000,,
169,2,0,2,0,,,,,,,,
170,2,0,2,0,,,,,,,0.9250,20
171,2,0,2,0,331,-0.019056,0.027662,1.087007,0.0080,0.000000,,
172,2,0,2,0,,,,,,,,
173,2,1,1,0,,,,,,,,
174,2,0,2,0,366,0.001801,0.066881,1.123309,0.0136,0.000000,,
175,2,0,2,0,,,,,,,,
176,2,0,2,0,,,,,,,,
177,2,0,2,0,457,0.005007,0.024474,1.153394,0.0000,0.000000,,
178,2,0,2,0,,,,,,,,
179,2,0,2,0,,,,,,,,
180,2,1,1,0,421,0.003330,0.070926,1.145605,0.0000,0.000000,0.8500,20
181,2,1,1,0,,,,,,,,
182,2,0,2,0,,,,,,,,
183,2,0,2,0,309,0.005429,0.063546,1.068748,0.0000,0.000000,,
184,2,0,2,0,,,,,,,,
185,2,1,1,0,,,,,,,,
186,2,1,1,0,480,-0.000758,0.073871,1.156839,0.0000,0.000000,,
187,2,1,1,0,,,,,,,,
188,2,0,2,0,,,,,,,,
189,2,0,2,0,434,-0.001450,0.066595,1.065176,0.0000,0.000000,,
190,2,1,1,0,,,,,,,0.9000,20
191,2,0,2,0,,,,,,,,
192,2,0,2,0,422,-0.005753,0.070743,1.113530,0.0000,0.000000,,
193,2,0,2,0,,,,,,,,
194,2,0,2,0,,,,,,,,
195,2,0,2,0,387,0.004984,0.050908,1.027500,0.0032,0.000000,,
196,2,0,2,0,,,,,,,,
197,2,0,2,0,,,,,,,,
198,2,0,2,0,346,-0.035653,0.015352,1.129533,0.0000,0.000000,,
199,2,1,1,0,,,,,,,,
200,2,0,2,0,,,,,,,0.9750,20
201,2,0,2,0,488,-0.003199,0.072144,1.086787,0.0042,0.000000,,
202,2,0,2,0,,,,,,,,
203,2,0,2,0,,,,,,,,
204,2,0,2,0,323,0.019313,0.014244,1.130553,0.0007,0.000000,,
205,2,0,2,0,,,,,,,,
206,2,0,2,0,,,,,,,,
207,2,0,2,0,273,-0.061287,0.017179,1.026787,0.0000,0.000000,,
208,2,0,2,0,,,,,,,,
209,2,0,2,0,,,,,,,,
