iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
73,16,10,6,0,2958,1930,-0.005838,0.126735,0.770565,0.0575,2.59,,
74,16,7,9,0,2587,2070,0.001953,0.116127,0.732477,0.0400,2.35,,
75,16,11,5,0,2801,2147,-0.000151,0.119284,0.753469,0.0168,2.53,,
76,16,8,8,0,2686,1907,-0.004614,0.149031,0.745338,0.0445,2.41,,
77,16,8,8,0,2923,2243,-0.003064,0.099847,0.741416,0.0449,2.71,,
78,16,6,10,0,2908,2213,-0.005658,0.086421,0.756668,0.0315,2.79,,
79,16,11,5,0,2671,1821,-0.003230,0.110205,0.737411,0.0340,2.43,,
80,16,8,8,0,2763,2045,-0.003673,0.108381,0.725605,0.0238,2.47,0.6000,20
81,16,9,7,0,2786,2061,0.034274,0.097823,0.715521,0.0471,2.47,,
82,16,13,3,0,2651,1941,-0.007561,0.099629,0.682543,0.0303,2.43,,
83,16,8,8,0,2665,2291,-0.003221,0.106479,0.713514,0.0353,2.64,,
84,16,11,5,0,2679,2231,-0.000912,0.103959,0.711902,0.0124,2.53,,
85,16,7,9,0,2793,2091,0.005680,0.112556,0.744448,0.0153,2.52,,
86,16,8,8,0,2670,1850,0.001074,0.103237,0.741808,0.0316,2.33,,
87,16,9,7,0,2733,2216,-0.000925,0.098771,0.738411,0.0236,2.49,,
88,16,10,6,0,2751,1719,-0.003752,0.122565,0.721871,0.0174,2.59,,
89,16,9,7,0,2594,2008,-0.002173,0.120227,0.747366,0.0156,2.32,,
90,16,5,11,0,2735,2046,-0.003227,0.138428,0.735924,0.0266,2.42,0.6500,20
91,16,5,11,0,2879,1791,-0.003378,0.091087,0.753503,0.0182,2.49,,
92,16,12,4,0,2897,2238,-0.005292,0.105620,0.771290,0.0394,2.60,,
93,16,7,9,0,2629,1667,-0.005695,0.098524,0.796081,0.0109,2.30,,
94,16,10,6,0,2864,1967,-0.002716,0.135243,0.758222,0.0299,2.52,,
95,16,8,8,0,2709,2111,-0.003897,0.099715,0.755984,0.0202,2.40,,
96,16,11,5,0,2583,1830,-0.005191,0.108885,0.805053,0.0223,2.37,,
97,16,10,6,0,2336,1568,0.001597,0.141826,0.734655,0.0273,2.09,,
98,16,9,7,0,2729,1727,-0.003913,0.127223,0.751815,0.0178,2.48,,
99,16,6,10,0,2606,1886,-0.002398,0.110789,0.787856,0.0241,2.37,,
