iter,episodes,decisions,samples,score_mean,score_first,score_second,itchy_rate,part_bench_drakloak,part_phantom_dive_ready,part_phantom_dive_ready_next,part_itchy_pollen,part_hand_size,pi_loss,v_loss,entropy,clip_frac,time_s
1,16,373,141,6.4875,7.4,5.575,0.09375,1.8125,0.1875,0.0,0.65625,3.8531249999999995,-0.0025887262515379796,0.08558424065510432,1.7248075008392334,0.0,4.787426233291626
2,16,390,151,5.51875,4.35625,6.68125,0.09375,1.3125,0.0,0.0,0.65625,3.684375,-0.0017889243777776305,0.06297027816375096,1.685090144475301,0.0,4.899448871612549
3,16,360,134,7.228125,5.475,8.98125,0.0625,2.0,0.1875,0.0,0.4375,3.7968750000000004,-0.0013712638663593661,0.07730969041585922,1.739675760269165,0.0,4.033966541290283
4,16,401,191,3.09375,2.7062500000000003,3.4812499999999997,0.09375,1.8125,0.0,0.0,0.65625,3.4031249999999997,-0.0009585373379114396,0.20688588917255402,1.6682407061258953,0.0,3.6334171295166016
5,16,380,146,5.2375,5.8625,4.6125,0.0625,1.625,0.0,0.0,0.4375,3.4031250000000006,-0.0009255184535229924,0.07634523262580235,1.630200743675232,0.0,3.9557888507843018
6,16,382,173,6.76875,6.3625,7.175,0.09375,2.0625,0.0,0.0,0.65625,3.5437499999999997,-0.0008887918294776161,0.08886156727870305,1.6819521983464558,0.0,3.6073155403137207
7,16,377,148,8.85,9.06875,8.63125,0.25,1.5,0.0,0.0,1.75,3.825,-0.0016530164462924546,0.08337382227182388,1.6443334817886353,0.0,4.140336275100708
8,16,412,175,7.059375,8.225,5.89375,0.125,2.6875,0.0,0.0,0.875,3.403125,-0.0011773433777992892,0.11902702351411183,1.6646294991175334,0.0,4.357435464859009
9,16,375,131,7.1000000000000005,7.14375,7.05625,0.15625,2.5,0.0,0.0,1.09375,3.8249999999999997,-0.0019900395251151912,0.11080801983674367,1.6577952702840169,0.0,4.2013468742370605
10,16,432,179,6.096875,6.10625,6.0875,0.09375,2.625,0.0,0.0,0.65625,3.459375,-0.0009701300821713943,0.05404035747051239,1.6288424730300903,0.0,4.843631267547607
11,16,381,149,6.3875,6.4,6.375,0.15625,1.3125,0.0,0.125,1.09375,3.6843749999999997,-0.0008305111226481662,0.08034492780764897,1.664516568183899,0.0,4.661998271942139
12,16,391,147,5.946875,4.04375,7.85,0.09375,2.1875,0.0,0.0,0.65625,3.5437499999999997,-0.0020205460746440806,0.14419497549533844,1.6842811504999797,0.0,4.813000440597534
13,16,375,149,6.903125,6.23125,7.575,0.125,2.5625,0.1875,0.0,0.875,3.7124999999999995,-0.001561159236508421,0.09893167267243068,1.6995758215586345,0.0,4.732001781463623
14,16,376,167,7.309375,5.65,8.96875,0.0625,2.4375,0.0,0.0,0.4375,3.4312500000000004,-0.0023179725444544275,0.04987328623731931,1.6021860837936401,0.0,4.364999294281006
15,16,353,136,9.990625,9.775,10.20625,0.25,2.4375,0.0,0.0,1.75,3.9375,-0.003414185731397771,0.08201400190591812,1.5757838487625122,0.0,3.9109976291656494
16,16,385,158,9.796875,8.81875,10.775,0.21875,3.1875,0.0,0.0,1.53125,3.9093750000000003,-0.00498902597091296,0.0551967037220796,1.664052963256836,0.0,4.435002326965332
17,16,413,197,7.54375,7.30625,7.78125,0.21875,2.1875,0.0,0.0,1.53125,3.7125000000000004,-0.001530962318769961,0.06994822869698207,1.6211959918340046,0.0,3.9809980392456055
