iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games,eval_vs_agent_win_rate
71,16,8,8,0,1351,956,-0.006447,0.167712,0.804937,0.0253,1.21,,,
72,16,9,7,0,1577,1265,-0.004723,0.128012,0.831406,0.0383,1.49,,,
73,16,8,8,0,1605,1083,-0.014445,0.146015,0.895656,0.0358,1.40,,,
74,16,7,9,0,1774,1447,-0.003758,0.126172,0.808568,0.0255,1.65,,,
75,16,7,9,0,1568,1219,-0.004749,0.157742,0.819163,0.0242,1.42,,,
76,16,5,11,0,1548,1188,-0.007490,0.166121,0.832619,0.0399,1.44,,,
77,16,9,7,0,1443,1113,0.002265,0.157839,0.809816,0.0403,1.28,,,
78,16,9,7,0,1944,1560,-0.005467,0.148553,0.823239,0.0335,1.77,,,
79,16,10,6,0,1680,1172,-0.007054,0.118791,0.875930,0.0351,1.53,,,
80,16,8,8,0,1442,1001,-0.005256,0.225446,0.835671,0.0212,1.29,1.0000,20,0.7500
81,16,10,6,0,1703,1257,-0.003000,0.146399,0.821055,0.0316,1.54,,,
82,16,8,8,0,1577,1137,0.001026,0.164710,0.872989,0.0301,1.43,,,
83,16,11,5,0,1561,1395,0.000690,0.139846,0.826420,0.0251,1.48,,,
84,16,7,9,0,1466,1158,-0.008664,0.179991,0.858788,0.0276,1.37,,,
85,16,11,5,0,1499,1059,0.010199,0.145314,0.856685,0.0488,1.39,,,
86,16,10,6,0,1347,1023,-0.002802,0.151142,0.872983,0.0196,1.22,,,
87,16,7,9,0,1349,1155,-0.004518,0.157216,0.839000,0.0352,1.31,,,
88,16,9,7,0,1593,1042,-0.015748,0.164122,0.871955,0.0262,1.45,,,
89,16,9,7,0,1505,1160,-0.015393,0.169909,0.804280,0.0376,1.45,,,
90,16,9,7,0,1554,1204,-0.003947,0.148415,0.845544,0.0249,1.40,0.9500,20,0.8000
91,16,12,4,0,1617,1000,-0.003689,0.126158,0.771951,0.0201,1.42,,,
92,16,8,8,0,1414,1144,-0.006700,0.244129,0.845898,0.0344,1.31,,,
93,16,10,6,0,1286,761,-0.005438,0.197419,0.839754,0.0302,1.08,,,
94,16,6,10,0,1393,1019,-0.004443,0.172964,0.797910,0.0246,1.27,,,
95,16,6,10,0,1268,958,0.000046,0.203305,0.835981,0.0244,1.16,,,
96,16,3,13,0,1304,889,0.009261,0.145034,0.795788,0.0201,1.16,,,
97,16,8,8,0,1386,1004,-0.005067,0.175993,0.811809,0.0333,1.28,,,
98,16,10,6,0,1551,1014,-0.004206,0.188598,0.829678,0.0259,1.38,,,
99,16,7,9,0,1278,867,-0.009846,0.216636,0.890198,0.0290,1.16,,,
100,16,8,8,0,1569,1034,-0.007956,0.165440,0.790271,0.0569,1.46,0.9000,20,0.7500
101,16,8,8,0,1468,1116,-0.001745,0.149726,0.797802,0.0221,1.33,,,
102,16,7,9,0,1299,951,-0.006649,0.246209,0.780933,0.0140,1.18,,,
103,16,9,7,0,1259,979,-0.003636,0.198937,0.816460,0.0204,1.17,,,
104,16,7,9,0,1448,942,-0.000886,0.192706,0.811495,0.0206,1.23,,,
105,16,8,8,0,1331,983,-0.003915,0.200076,0.779808,0.0293,1.18,,,
106,16,9,7,0,1391,806,-0.000548,0.154354,0.801094,0.0231,1.21,,,
107,16,8,8,0,1666,1231,-0.003651,0.167243,0.818253,0.0196,1.46,,,
108,16,6,10,0,1473,1053,-0.023625,0.142084,0.797026,0.0363,1.34,,,
109,16,13,3,0,1306,1046,-0.020454,0.147904,0.853037,0.0395,1.23,,,
110,16,6,10,0,1332,833,-0.002351,0.188247,0.802402,0.0265,1.15,1.0000,20,0.6000
111,16,10,6,0,1304,1081,-0.008292,0.167862,0.825501,0.0380,1.22,,,
112,16,10,6,0,1499,1008,-0.004051,0.153474,0.783755,0.0269,1.30,,,
113,16,10,6,0,1528,1125,-0.007776,0.155174,0.854614,0.0307,1.58,,,
114,16,8,8,0,1615,1384,0.009797,0.196869,0.856822,0.0324,1.51,,,
115,16,8,8,0,1602,1055,-0.006425,0.136401,0.797619,0.0290,1.45,,,
116,16,12,4,0,1473,1061,-0.016768,0.134770,0.819604,0.0405,1.43,,,
117,16,9,7,0,1538,928,-0.002108,0.155288,0.809222,0.0289,1.45,,,
118,16,12,4,0,1268,947,-0.003153,0.224606,0.836241,0.0334,1.14,,,
119,16,10,6,0,1526,1060,-0.014889,0.209484,0.806707,0.0403,1.37,,,
120,16,6,10,0,1383,974,-0.007359,0.190852,0.863216,0.0307,1.24,0.9000,20,0.9000
121,16,6,10,0,1428,1071,0.001699,0.184067,0.803867,0.0409,1.27,,,
122,16,10,6,0,1476,1145,-0.003084,0.173180,0.862325,0.0360,1.40,,,
123,16,9,7,0,1143,865,-0.004527,0.223930,0.910711,0.0335,1.01,,,
124,16,9,7,0,1225,859,-0.003041,0.163764,0.837939,0.0421,1.18,,,
125,16,10,6,0,1345,893,-0.006888,0.170249,0.865386,0.0331,1.17,,,
126,16,8,8,0,1180,830,-0.018004,0.223055,0.900399,0.0320,1.09,,,
127,16,7,9,0,1258,962,-0.003879,0.190950,0.839227,0.0192,1.12,,,
128,16,11,5,0,1238,975,-0.004969,0.205464,0.830915,0.0336,1.12,,,
129,16,9,7,0,1288,840,0.015717,0.209616,0.826445,0.0146,1.09,,,
130,16,7,9,0,1189,884,0.008846,0.204604,0.875154,0.0332,1.07,1.0000,20,0.6500
131,16,9,7,0,1218,839,-0.011938,0.211937,0.853314,0.0328,1.10,,,
132,16,5,11,0,1110,821,-0.006970,0.223757,0.876253,0.0406,1.00,,,
133,16,6,10,0,1252,966,-0.004481,0.228998,0.804541,0.0306,1.05,,,
134,16,12,4,0,879,639,-0.010197,0.298989,0.822446,0.0213,0.77,,,
135,16,10,6,0,1451,998,-0.003286,0.174394,0.843652,0.0232,1.33,,,
136,16,8,8,0,1186,854,0.020218,0.175752,0.847788,0.0308,1.09,,,
137,16,9,7,0,1211,922,-0.005952,0.171445,0.889623,0.0330,1.13,,,
138,16,9,7,0,1323,975,-0.006251,0.178388,0.841821,0.0273,1.17,,,
139,16,10,6,0,1394,964,-0.003171,0.242996,0.844417,0.0139,1.26,,,
140,16,9,7,0,1430,1055,-0.008535,0.188739,0.840167,0.0247,1.34,0.9500,20,0.5500
141,16,8,8,0,1508,1026,-0.121800,0.193201,0.874332,0.0703,1.40,,,
142,16,8,8,0,1506,1106,-0.006347,0.159177,0.834406,0.0357,1.37,,,
143,16,10,6,0,1323,982,-0.006224,0.183045,0.841352,0.0281,1.15,,,
144,16,6,10,0,1272,1055,0.023303,0.176795,0.846696,0.0269,1.22,,,
145,16,9,7,0,1446,1076,-0.009834,0.203913,0.855900,0.0447,1.35,,,
146,16,9,7,0,1176,762,-0.005791,0.209103,0.827300,0.0175,1.03,,,
147,16,10,6,0,1497,1133,-0.002653,0.165544,0.869274,0.0356,1.45,,,
148,16,12,4,0,1389,1023,-0.006518,0.161239,0.837741,0.0310,1.27,,,
149,16,8,8,0,1678,1360,-0.012299,0.152163,0.836396,0.0293,1.55,,,
150,16,6,10,0,1432,980,-0.002745,0.196850,0.911297,0.0362,1.30,1.0000,20,0.8500
151,16,7,9,0,1275,874,-0.006486,0.195662,0.809849,0.0317,1.19,,,
152,16,11,5,0,1497,1251,-0.005446,0.198350,0.844714,0.0426,1.41,,,
153,16,12,4,0,1266,808,-0.004366,0.241880,0.849243,0.0428,1.10,,,
154,16,9,7,0,1066,771,-0.010965,0.245362,0.866735,0.0221,0.95,,,
155,16,7,9,0,1324,1073,-0.004268,0.199627,0.896536,0.0261,1.29,,,
156,16,9,7,0,1461,1147,0.004457,0.173274,0.837170,0.0400,1.37,,,
157,16,9,7,0,1330,877,-0.020192,0.196142,0.871681,0.0346,1.15,,,
158,16,8,8,0,1376,926,-0.005807,0.226195,0.892544,0.0380,1.33,,,
159,16,11,5,0,1219,837,-0.017257,0.234382,0.847350,0.0257,1.05,,,
160,16,12,4,0,1376,941,-0.004128,0.193447,0.868166,0.0332,1.24,1.0000,20,0.6500
161,16,12,4,0,1308,944,-0.004612,0.183809,0.905534,0.0316,1.20,,,
162,16,8,8,0,1603,1020,-0.005597,0.183600,0.829547,0.0288,1.46,,,
163,16,6,10,0,1377,905,0.001881,0.162554,0.885017,0.0317,1.23,,,
164,16,3,13,0,1288,826,-0.006527,0.211733,0.851478,0.0237,1.16,,,
165,16,9,7,0,1448,937,-0.006813,0.198381,0.852983,0.0292,1.43,,,
166,16,8,8,0,1366,1144,-0.002641,0.192078,0.827375,0.0346,1.28,,,
167,16,8,8,0,1170,877,-0.009345,0.221958,0.873846,0.0399,1.09,,,
168,16,8,8,0,1534,1085,0.007411,0.177068,0.834586,0.0346,1.36,,,
169,16,9,7,0,1409,1060,0.003498,0.172886,0.860731,0.0225,1.33,,,
170,16,8,8,0,1514,1117,-0.016811,0.215611,0.841378,0.0296,1.42,1.0000,20,0.8000
171,16,9,7,0,1294,1037,-0.008057,0.198058,0.869067,0.0314,1.15,,,
172,16,9,7,0,1502,1103,0.008579,0.164208,0.866318,0.0301,1.37,,,
173,16,6,10,0,1156,800,-0.016059,0.251091,0.837377,0.0358,1.05,,,
174,16,6,10,0,1349,1005,-0.005560,0.215746,0.887873,0.0240,1.27,,,
175,16,6,10,0,1359,1026,-0.213476,0.236279,0.881910,0.0240,1.14,,,
176,16,11,5,0,1512,1074,0.000366,0.164945,0.926930,0.0273,1.33,,,
177,16,6,10,0,1416,1096,0.007124,0.177024,0.898355,0.0246,1.27,,,
178,16,9,7,0,1178,910,-0.003940,0.186101,0.853870,0.0364,1.08,,,
179,16,10,6,0,1353,907,-0.017978,0.198273,0.878732,0.0217,1.16,,,
180,16,9,7,0,1365,988,-0.006246,0.198159,0.875043,0.0425,1.23,0.9500,20,0.5500
181,16,7,9,0,1411,1106,0.004353,0.175188,0.868823,0.0407,1.33,,,
182,16,6,10,0,1496,914,-0.004661,0.172139,0.833458,0.0283,1.25,,,
183,16,8,8,0,1431,968,0.000045,0.193574,0.877686,0.0281,1.23,,,
184,16,9,7,0,1401,1129,-0.006921,0.163296,0.834234,0.0222,1.39,,,
185,16,8,8,0,1602,1233,-0.004269,0.167205,0.889046,0.0265,1.44,,,
186,16,13,3,0,1475,1228,-0.004291,0.171207,0.838553,0.0272,1.38,,,
187,16,8,8,0,1467,1079,-0.016082,0.232243,0.848016,0.0310,1.31,,,
188,16,7,9,0,1411,930,-0.004497,0.235683,0.844839,0.0174,1.27,,,
189,16,6,10,0,1388,1000,-0.005044,0.179009,0.883393,0.0270,1.25,,,
190,16,8,8,0,1488,1082,0.003437,0.174605,0.868280,0.0388,1.39,0.9500,20,0.8000
191,16,7,9,0,1386,998,-0.004433,0.231094,0.855850,0.0262,1.26,,,
192,16,2,14,0,1306,843,0.008387,0.228213,0.843566,0.0369,1.17,,,
193,16,10,6,0,1518,1269,-0.006214,0.178820,0.855687,0.0283,1.46,,,
194,16,10,6,0,1277,873,-0.016390,0.200753,0.825713,0.0215,1.16,,,
195,16,4,12,0,1247,990,-0.005910,0.214883,0.839543,0.0239,1.16,,,
196,16,10,6,0,1264,921,-0.005605,0.213866,0.833902,0.0204,1.12,,,
197,16,10,6,0,1505,933,-0.003156,0.183959,0.816382,0.0251,1.28,,,
198,16,10,6,0,1379,963,-0.008736,0.198474,0.775915,0.0281,1.21,,,
199,16,8,8,0,1178,891,-0.008948,0.239459,0.820229,0.0289,1.09,,,
200,16,7,9,0,1282,928,-0.007958,0.239648,0.824227,0.0207,1.20,0.9500,20,0.7000
201,16,9,7,0,1137,970,-0.005351,0.195362,0.812274,0.0275,1.08,,,
202,16,7,9,0,1119,895,0.000134,0.216801,0.792308,0.0225,1.09,,,
203,16,11,5,0,1148,958,-0.010974,0.169248,0.824877,0.0297,1.13,,,
204,16,6,10,0,1274,949,-0.005185,0.211988,0.811010,0.0326,1.16,,,
